시/도,구,단지명,URL,입주일자,세대수,최고가,최저가(22년이후),최저가(2개월이내),매물최저가,최저비율,매물개수,80%이하rur개수,전세매물최고,전세가율,전세매물최저,전세매물개수
서울특별시,강남구,"현대14차(203,204,205,206동)(국평)",https://new.land.naver.com/complexes/514,1987.04.21.,388세대(4동),43억,34억9천,0,40억5천,-5,21건,0건,11억,24,8억3천,26건
서울특별시,강남구,현대3차(61~64동)(국평),https://new.land.naver.com/complexes/705,1976.11.04.,432세대(4동),42억,34억5천,34억5천,33억5천,-20,43건,5건,10억,26,5억3천250,15건
서울특별시,강남구,청담자이(국평),https://new.land.naver.com/complexes/1081,2012.03.23.,"708세대(장기전세 20세대 포함, 총5동)",30억7천,27억5천,28억4천,33억,7,11건,0건,19억,56,13억9천,33건
서울특별시,강남구,래미안라클래시(국평),https://new.land.naver.com/complexes/127477,2021.09.17.,"679세대(기타임대 81세대 포함, 총7동)",35억7천,33억1천,0,32억8천,-8,7건,0건,17억,49,16억,6건
서울특별시,강남구,래미안대치팰리스(국평),https://new.land.naver.com/complexes/107916,2015.09.22.,"1,278세대(장기전세 20세대 포함, 총13동)",33억,28억2천,0,32억,-3,34건,0건,16억5천,49,15억7천,24건
서울특별시,강남구,대치SKVIEW(국평),https://new.land.naver.com/complexes/111580,2017.06.20.,239세대(4동),31억2천,27억8천,0,29억9천,-4,5건,0건,17억,57,16억4천,5건
서울특별시,강남구,디에이치아너힐즈(국평),https://new.land.naver.com/complexes/113151,2019.08.29.,"1,320세대(기타임대 85세대 포함, 총23동)",30억9천,25억,28억,28억,-9,13건,0건,14억5천,45,13억5천,15건
서울특별시,강남구,디에이치자이개포(국평),https://new.land.naver.com/complexes/121971,2021.07.30.,"1,996세대(장기전세 306세대 포함, 총15동)",29억8천,23억5천,27억5천,28억,-6,62건,0건,16억,50,13억9천,41건
서울특별시,강남구,테헤란아이파크(국평),https://new.land.naver.com/complexes/104032,2014.01.24.,"411세대(기타임대 11세대 포함, 총6동)",28억,23억9천,23억9천,28억,0,1건,0건,12억,43,12억,3건
서울특별시,강남구,삼성동센트럴아이파크(국평),https://new.land.naver.com/complexes/111332,2018.03.30.,"416세대(기타임대 57세대 포함, 총4동)",32억,30억,30억,27억9천,-12,10건,0건,16억5천,47,14억,13건
서울특별시,강남구,도곡렉슬(국평),https://new.land.naver.com/complexes/11698,2006.01.27.,"3,002세대(34동)",32억,23억5천,28억2천,27억5천,-14,2건,0건,,,,
서울특별시,강남구,개나리SK뷰(국평),https://new.land.naver.com/complexes/103376,2012.08.17.,"240세대(장기전세 7세대 포함, 총3동)",29억5천,27억,0,27억5천,-6,6건,0건,15억,50,14억8천,5건
서울특별시,강남구,대치아이파크(국평),https://new.land.naver.com/complexes/19418,2008.06.03.,768세대(11동),29억,24억1천,28억4천500,27억,-6,15건,0건,14억5천,49,13억,17건
서울특별시,강남구,래미안블레스티지(국평),https://new.land.naver.com/complexes/112228,2019.02.26.,"1,957세대(기타임대 112세대 포함, 총23동)",30억,24억,0,26억5천,-11,52건,0건,14억,45,11억7천,35건
서울특별시,강남구,래미안 개포 루체하임(국평),https://new.land.naver.com/complexes/113125,2018.11.21.,"850세대(기타임대 50세대 포함, 총12동)",27억,21억3천,0,26억,-3,31건,0건,14억,50,13억,17건
서울특별시,강남구,개나리래미안(국평),https://new.land.naver.com/complexes/18213,2006.08.31.,438세대(7동),26억,21억,0,25억,-3,12건,0건,13억,48,12억9천,3건
서울특별시,강남구,삼성동센트럴아이파크(소형),https://new.land.naver.com/complexes/111332,2018.03.30.,"416세대(기타임대 57세대 포함, 총4동)",23억3천,20억8천,23억3천,25억,7,1건,0건,,,,
서울특별시,강남구,개포래미안포레스트(국평),https://new.land.naver.com/complexes/119219,2020.09.28.,"2,296세대(기타임대 120세대 포함, 총31동)",29억7천,21억9천,26억,24억4천900,-17,27건,0건,13억,43,10억5천,25건
서울특별시,강남구,삼성동힐스테이트 1단지(국평),https://new.land.naver.com/complexes/24009,2008.12.10.,"1,144세대(17동)",28억,23억7천,0,24억4천,-12,25건,0건,13억5천,48,9억9천,37건
서울특별시,강남구,역삼래미안(국평),https://new.land.naver.com/complexes/13814,2005.10.26.,"1,050세대(12동)",27억9천500,21억9천,23억,22억9천,-18,27건,0건,12억5천,50,11억5천,14건
